rp	q5	q50	q95
1	5	44.3206610626348	57.9829174786313	68.3161521921259
2	10	53.5945623576088	69.7863320815999	82.3323156474786
3	25	66.8336219872325	86.896476874571	102.995521347076
4	50	78.0151295189765	101.655046618565	121.100920729215
5	100	90.4653995009929	118.428882995471	141.953079375743
6	200	104.397536835579	137.606305278456	166.107766889865
7	500	125.455189190703	167.345289383941	204.140667968829
8	1000	143.678906705972	193.748883053965	238.417388278436
9	2000	164.16099204167	224.093578705697	278.325106230788
10	5000	195.192280080823	271.28377353133	341.336452451514
11	10000	222.076621422022	313.235642858772	398.196478957562
12	20000	252.305641574816	361.474240484696	464.430771159313
13	50000	298.114812591362	436.513112200258	569.038673321449
14	1e+05	337.806462706351	503.230949185351	663.44639077962
15	2e+05	382.438072118227	579.950782378696	773.424218050931
16	5e+05	450.074580121253	699.297788422087	947.123768693743
17	1e+06	508.679302081975	805.411816657963	1103.88806918477
